city_state	Row Labels	City	County	Latitude	Longitude
"ADAK, AK"	AK	ADAK	ALEUTIANS WEST	51.854871	-177.088812
"AKIACHAK, AK"	AK	AKIACHAK	BETHEL	60.878536	-161.425504
"AKIAK, AK"	AK	AKIAK	BETHEL	60.91462	-161.294456
"AKUTAN, AK"	AK	AKUTAN	ALEUTIANS EAST	54.16727	-165.747981
"ALAKANUK, AK"	AK	ALAKANUK	WADE HAMPTON	62.723427	-163.8538
"ALEKNAGIK, AK"	AK	ALEKNAGIK	DILLINGHAM	59.344639	-158.774876
"ALLAKAKET, AK"	AK	ALLAKAKET	YUKON KOYUKUK	66.534416	-152.720306
"AMBLER, AK"	AK	AMBLER	NORTHWEST ARCTIC	67.6806	-156.875819
"ANAKTUVUK PASS, AK"	AK	ANAKTUVUK PASS	NORTH SLOPE	68.136652	-151.696756
"ANCHOR POINT, AK"	AK	ANCHOR POINT	KENAI PENINSULA	59.81156	-151.640287
"ANCHORAGE, AK"	AK	ANCHORAGE	ANCHORAGE	61.1932902	-149.8932756
"ANDERSON, AK"	AK	ANDERSON	DENALI	64.2816	-149.131769
"ANGOON, AK"	AK	ANGOON	HOONAH ANGOON	57.712628	-133.669726
"ANIAK, AK"	AK	ANIAK	BETHEL	61.476572	-156.713567
"ANVIK, AK"	AK	ANVIK	YUKON KOYUKUK	63.30264	-159.868254
"ARCTIC VILLAGE, AK"	AK	ARCTIC VILLAGE	YUKON KOYUKUK	68.151868	-145.485017
"ATKA, AK"	AK	ATKA	ALEUTIANS WEST	52.210572	-173.820056
"ATQASUK, AK"	AK	ATQASUK	NORTH SLOPE	70.489114	-157.39876
"AUKE BAY, AK"	AK	AUKE BAY	JUNEAU	58.3833	-134.6591
"BARROW, AK"	AK	BARROW	NORTH SLOPE	70.29235	-156.597982
"BEAVER, AK"	AK	BEAVER	YUKON KOYUKUK	66.387197	-147.32548
"BETHEL, AK"	AK	BETHEL	BETHEL	60.912509	-161.9762
"BETTLES FIELD, AK"	AK	BETTLES FIELD	YUKON KOYUKUK	67.277654	-150.945403
"BIG LAKE, AK"	AK	BIG LAKE	MATANUSKA SUSITNA	61.464922	-150.097668
"BREVIG MISSION, AK"	AK	BREVIG MISSION	NOME	65.441346	-166.939622
"BUCKLAND, AK"	AK	BUCKLAND	NORTHWEST ARCTIC	65.874808	-160.50992
"CANTWELL, AK"	AK	CANTWELL	DENALI	63.336685	-148.086366
"CENTRAL, AK"	AK	CENTRAL	YUKON KOYUKUK	65.232699	-144.425723
"CHALKYITSIK, AK"	AK	CHALKYITSIK	YUKON KOYUKUK	66.641779	-143.750702
"CHEFORNAK, AK"	AK	CHEFORNAK	BETHEL	60.159414	-164.068411
"CHEVAK, AK"	AK	CHEVAK	WADE HAMPTON	61.472368	-164.837465
"CHICKEN, AK"	AK	CHICKEN	SOUTHEAST FAIRBANKS	63.864317	-141.936968
"CHIGNIK, AK"	AK	CHIGNIK	LAKE AND PENINSULA	56.304672	-158.401254
"CHIGNIK LAGOON, AK"	AK	CHIGNIK LAGOON	LAKE AND PENINSULA	56.30741	-158.49604
"CHIGNIK LAKE, AK"	AK	CHIGNIK LAKE	LAKE AND PENINSULA	56.239163	-158.74329
"CHITINA, AK"	AK	CHITINA	VALDEZ CORDOVA	61.505789	-143.890392
"CHUGIAK, AK"	AK	CHUGIAK	ANCHORAGE	61.423518	-149.329945
"CIRCLE, AK"	AK	CIRCLE	YUKON KOYUKUK	65.627924	-143.449118
"CLAM GULCH, AK"	AK	CLAM GULCH	KENAI PENINSULA	60.210537	-151.409868
"CLARKS POINT, AK"	AK	CLARKS POINT	DILLINGHAM	58.832661	-157.861912
"CLEAR, AK"	AK	CLEAR	DENALI	64.749761	-148.928394
"COFFMAN COVE, AK"	AK	COFFMAN COVE	PRINCE OF WALES HYDER	55.963322	-132.814536
"COLD BAY, AK"	AK	COLD BAY	ALEUTIANS EAST	55.849607	-161.11259
"COOPER LANDING, AK"	AK	COOPER LANDING	KENAI PENINSULA	60.449316	-150.036542
"COPPER CENTER, AK"	AK	COPPER CENTER	VALDEZ CORDOVA	61.798703	-143.851898
"CORDOVA, AK"	AK	CORDOVA	VALDEZ CORDOVA	60.491937	-143.810382
"CRAIG, AK"	AK	CRAIG	PRINCE OF WALES HYDER	55.451702	-132.992635
"CROOKED CREEK, AK"	AK	CROOKED CREEK	BETHEL	61.796974	-157.956801
"DEERING, AK"	AK	DEERING	NORTHWEST ARCTIC	66.015195	-163.100623
"DELTA JUNCTION, AK"	AK	DELTA JUNCTION	SOUTHEAST FAIRBANKS	63.780185	-145.36958
"DENALI NATIONAL PARK, AK"	AK	DENALI NATIONAL PARK	DENALI	63.580221	-150.748066
"DILLINGHAM, AK"	AK	DILLINGHAM	DILLINGHAM	59.212234	-159.722152
"DOUGLAS, AK"	AK	DOUGLAS	JUNEAU	58.273787	-134.401283
"DUTCH HARBOR, AK"	AK	DUTCH HARBOR	ALEUTIANS WEST	53.547528	-166.967179
"EAGLE, AK"	AK	EAGLE	SOUTHEAST FAIRBANKS	64.452624	-141.224684
"EAGLE RIVER, AK"	AK	EAGLE RIVER	ANCHORAGE	61.235338	-149.320634
"EEK, AK"	AK	EEK	BETHEL	59.761734	-161.904122
